NO,SCT_SHIP__NO,MR,COMMERCIAL_INVOICE_NO,INVOICE_DATE,PO_NO,VENDOR,CATEGORY,MAIN_DESCRIPTION_(PO),SUB_DESCRIPTION,SHU,DAS,MIR,AGI,INCOTERMS,CURRENCY,INVOICE_VALUE,FREIGHT,INSURANCE,CIF_VALUE,COE,POL,POD,BL_NO_AWB_NO,VESSEL_NAME_FLIGHT_NO,FORWARDER,SHIP_MODE,PKG,20DC,40DC,40HQ,45HQ,20OT(IN),20OT(OH),40OT(IN),40OT(OH),20FR(IN),40FR(IN),20FR(FV),40FR(OW),"20FR(OW,OH)","40FR(OW,OH)","40FR(OW,OL)",LCL,QTY_OF_CNTR,G_BULK,O_BULK,H_BULK,GWT(KG),CBM,R/T(GRAND-_TOTAL),A_CWT(KG),ETD,ATD,ETA,ATA,ATTESTATION_DATE,DO_COLLECTION,CUSTOMS_START,CUSTOMS_CLOSE,CUSTOM_CODE,DUTY_AMT,VAT_AMT,SHU2,MIR3,DAS4,AGI5,DSV_INDOOR,DSV_OUTDOOR,DSV_MZD,DSV_KIZAD,JDN_MZD,JDN_WATERFRONT,MOSB,AAA_STORAGE,ZENER_(WH),HAULER_DG_STORAGE,VIJAY_TANKS,FLOW_CODE,FLOW_DESCRIPTION
795,HVDC-ADOPT-SCT-0136,E08,HVDC-ADOPT-SCT-0136,2025-10-01,5001005009,"BMT Co., Ltd",Elec,Juntion Box,Juntion Box,O,O,O,,FOB,USD,6562.52,2033.0,16.69,8612.21,KOREA,Incheon,Abu Dhabi Airport,ELA2509047,EK323,,A,2,,,,,,,,,,,,,,,,,0.0,,,,318.0,3.28,3.28,,2025-10-02,2025-10-02,2025-10-04,2025-10-04,2025-10-14,2025-10-02,2025-10-10,2025-10-10,47150.0,1582.0,1661.0,,,2025-10-16,,,,,,,,2025-10-13,,,,,2,Port → WH → Site
801,HVDC-ADOPT-SCT-0139,E08,HVDC-ADOPT-SCT-0139,2025-10-01,5001005974,Tyco Electronics,Elec,Armour Earthing Kit,Cable Termination Kit 5th,,O,,,FOB,USD,1260.0,118.22,3.78,1382.0,KOREA,Incheon,Abu Dhabi Airport,SEL00001146,EK323,,A,1,,,,,,,,,,,,,,,,,0.0,,,,18.5,0.1,0.1,,2025-10-01,2025-10-01,2025-10-02,2025-10-02,,2025-10-03,2025-10-03,2025-10-03,47150.0,307.0,322.0,,,2025-10-14,,,,,,,,2025-10-09,,,,,2,Port → WH → Site
802,HVDC-ADOPT-SCT-0141,E08,HVDC-ADOPT-SCT-0141,2025-10-12,5000802593,Sangdong,Elec,Steel Conduit,Steel Conduit (10th),O,O,,O,FOB,USD,1126.8,483.0,17.71,1627.51,KOREA,Incheon,Abu Dhabi Airport,SEL00001182,EY0823,,A,1,,,,,,,,,,,,,,,,,0.0,,,,161.0,0.73,0.73,,2025-10-12,2025-10-12,2025-10-12,2025-10-12,,2025-10-13,2025-10-13,2025-10-13,47150.0,299.0,314.0,,,2025-10-16,,,,,,,,2025-10-13,,,,,2,Port → WH → Site
803,HVDC-ADOPT-SCT-0133,E08,HVDC-ADOPT-SCT-0133,2025-09-04,5000801061,Arab Steel,Elec,Communication & Security System,Anchor Bolt with Template,O,,,,FOB,USD,875.2,3129.94,20.03,4025.17,Egypt,Kairo,Abu Dhabi Airport,CCAP633612,CEVA EGYPT,,A,1,,,,,,,,,,,,,,,,,0.0,,,,690.0,1.88,1.88,,2025-10-02,2025-10-02,2025-10-07,2025-10-07,2025-10-21,2025-10-16,2025-10-16,2025-10-16,47150.0,740.0,776.0,2025-10-18,,,,,,,,,,,,,,,1,Port → Site
807,HVDC-ADOPT-SEI-0022,E03,HVDC-ADOPT-SEI-0022,2025-10-17,5000684244,Sumitomo,Elec,400kV HVDC Cable System,Spare Cable Repair Joint for FO Submarine Cable,,,,,CIF,EUR,33470.0,466.0,318.72,34254.72,Norway,Oslo,Abu Dhabi Airport,SEL-00001223,QR8218,,A,1,,,,,,,,,,,,,,,,,0.0,,,,85.0,0.53,0.53,,2025-10-17,2025-10-17,2025-10-18,2025-10-18,2025-10-21,2025-10-17,2025-10-17,2025-10-17,47150.0,7332.0,7699.0,2025-11-20,,,,,,,,2025-10-21,,,,,,,2,Port → WH → Site
813,HVDC-ADOPT-SCT-0145,E08,HVDC-ADOPT-SCT-0145,2025-10-30,5000802593,Sangdong,Elec,Steel Conduit,Steel Conduit (12th),O,,,O,FOB,USD,2586.5,500.0,15.43,3101.93,KOREA,Incheon,Abu Dhabi Airport,SEL00001321,QR859,,A,1,,,,,,,,,,,,,,,,,0.0,,,,25.0,0.09,0.09,,2025-10-30,2025-10-30,2025-10-30,2025-10-30,2025-11-03,2025-10-31,2025-10-31,2025-10-31,47150.0,570.0,598.0,2025-11-06,,,2025-11-07,,,,,,,2025-11-03,,,,,2,Port → WH → Site
815,HVDC-ADOPT-SCT-0148,E08,HVDC-ADOPT-SCT-0148,,5000799801,LS Cable,Elec,"MV, LV & Control Cable","MV,LV & Control Cable (12th)",O,O,O,O,FOB,USD,8240.0,817.8,14.95,9072.75,KOREA,Incheon,Abu Dhabi Airport,SEL00001302,EY827,Deugro,A,1,,,,,,,,,,,,,,,,,0.0,,,,153.0,1.2,1.2,,2025-10-31,2025-10-31,2025-11-01,2025-11-01,,2025-11-03,2025-11-03,2025-11-03,47150.0,,1666.0,2025-11-06,2025-11-05,2025-11-08,2025-11-06,,,,,,,2025-11-04,,,,,2,Port → WH → Site
817,HVDC-ADOPT-SCT-0147,E08,HVDC-ADOPT-SCT-0147,2025-11-02,5001009797,Dong-A Bestech,Elec,Cable Gland,Cable Gland 6th,,O,,O,FOB,USD,1662.87,430.0,40.0,2132.87,KOREA,Incheon,Abu Dhabi Airport,SEL00001323,EY827,,A,2,,,,,,,,,,,,,,,,,0.0,,,,107.0,0.34,0.34,,2025-11-02,2025-11-02,2025-11-03,2025-11-03,,2025-11-04,2025-11-04,2025-11-04,47150.0,392.0,411.0,,,2025-11-08,2025-11-06,,,,,,,2025-11-04,,,,,2,Port → WH → Site
818,HVDC-ADOPT-SCT-0128,E08,HVDC-ADOPT-SCT-0128,2025-09-27,5000789074,TaeHwa,Elec,Cable Tray System,Cable Tray System (19th),,,O,O,FOB,USD,27725.81,3200.0,340.18,31265.99,KOREA,Busan Port,Khalifa port,SEL00001016,HMM MIR,Deugro,C,8,2.0,,1.0,,,,,,,,,,,,,,3.0,,,,17097.0,62.43,62.43,,2025-09-27,2025-09-27,2025-11-05,2025-11-05,2025-11-11,2025-11-05,2025-11-06,2025-11-06,47150.0,5742.0,6028.0,,2025-11-13,,,,,,,,,2025-11-08,,,,,2,Port → WH → Site
820,HVDC-ADOPT-SCT-0132,E08,HVDC-ADOPT-SCT-0132,2025-10-02,5001028922,UNICON,Inst.,MOV Glove Valve,MOV Glove Valve,O,O,O,O,FOB,USD,27184.0,860.0,84.0,28128.0,KOREA,Busan Port,Khalifa port,SEL00001017,HMM GARNET,Deugro,C,4,1.0,,,,,,,,,,,,,,,,1.0,,,,1109.0,5.7,5.7,,2025-10-02,2025-10-02,2025-11-09,2025-11-09,2025-11-11,2025-11-07,2025-11-07,2025-11-07,47150.0,5166.0,5423.0,2025-11-14,2025-11-14,2025-11-18,2025-11-16,,,,,,,2025-11-14,,,,,2,Port → WH → Site
821,HVDC-ADOPT-SCT-0149,E08,HVDC-ADOPT-SCT-0149,2025-11-04,5000801061,Arab Steel,Elec,Communication & Security System,Anchor Bolt with Template,,,O,,FOB,USD,875.2,3130.0,20.03,4025.23,Egypt,Kairo,Abu Dhabi Airport,ELGCAI251029,ES0195,,A,1,,,,,,,,,,,,,,,,,0.0,,,,700.0,0.72,0.72,,2025-11-04,2025-11-04,2025-11-07,2025-11-07,2025-11-11,2025-11-10,2025-11-10,2025-11-10,47150.0,740.0,776.0,,2025-11-13,,,,,,,,,2025-11-10,,,,,2,Port → WH → Site
822,HVDC-ADOPT-SCT-0150,E08,HVDC-ADOPT-SCT-0150,2025-11-09,LPO-1675,Excellift,Mech,Crane and Hoist,Wire Rope,,,,O,FOB,USD,4190.0,400.0,20.0,4610.0,MALAYSIA,Kuala Lumpur,Abu Dhabi Airport,TC2508336,EY487,,A,1,,,,,,,,,,,,,,,,,0.0,,,,80.0,0.25,0.25,,2025-11-09,2025-11-09,2025-11-10,2025-11-10,2025-11-11,2025-11-10,2025-11-10,2025-11-10,47150.0,847.0,889.0,,,,2025-11-14,,,,,,,2025-11-11,,,,,2,Port → WH → Site
823,HVDC-ADOPT-SCT-0135,E08,HVDC-ADOPT-SCT-0135,2025-09-04,5000801061,Arab Steel,Elec,Communication & Security System,Lighting Pole with Accessories,O,O,O,O,FOB,USD,72000.0,1115.0,877.38,73992.38,Egypt,Sukhna,Khalifa port,CFA0844427,CMA CGM Don Pascuale,,C,7,,,1.0,,,,,,,,,,,,,,1.0,,,,4665.0,50.0,50.0,,2025-10-21,2025-10-21,2025-11-10,2025-11-10,2025-11-20,2025-11-10,2025-11-11,2025-11-11,47150.0,13587.0,14266.0,2025-11-14,2025-11-14,2025-11-18,2025-11-16,,,,,,,2025-11-14,,,,,2,Port → WH → Site
826,HVDC-ADOPT-SIM-0095,E04-1,AB25-60244,2025-10-25,SCT-19LT-PRC-PO-004,Lorunser,Elec,400kV and 132kV New Converter GIS,400kv & 132kv Hardwares,O,O,O,O,CIF,EUR,,,,235825.4,Austria,Graz,Abu Dhabi Airport,176-0230 9565,CV2643Z,,A,32,,,,,,,,,,,,,,,,,0.0,,,,11285.0,,,,2025-11-14,2025-11-14,2025-11-19,2025-11-19,2025-11-30,2025-11-12,2025-11-20,2025-11-20,47150.0,50831.0,53371.0,2025-11-25,2025-11-28,2025-11-30,2025-12-25,,2025-11-21,,,,,2025-11-25,,,,,3,Port → WH → MOSB → Site
827,HVDC-ADOPT-SCT-0138,E08,HVDC-ADOPT-SCT-0138,2025-10-17,5000802593,Sangdong,Elec,Steel Conduit,Steel Conduit (9th),,O,,O,FOB,USD,23209.37,1600.0,272.9,25082.27,KOREA,Busan Port,Khalifa port,SEL00001184,YM WORTH,Deugro,C,6,,,1.0,,,,,,,,,,,,,,1.0,,,,9290.0,14.64,14.64,,2025-10-17,2025-10-17,2025-11-23,2025-11-23,2025-11-30,2025-11-24,2025-11-24,2025-11-24,47150.0,4607.0,4836.0,,,2025-12-01,2025-12-08,,,,,,,2025-11-27,,,,,2,Port → WH → Site
831,HVDC-ADOPT-SCT-0152,E08,HVDC-ADOPT-SCT-0152,2025-11-25,5000801116,Bansuk,Elec,Lighting and Small Power Sysytem,Lighting & Small Power System,O,O,O,O,FOB,USD,11200.0,2115.0,70.0,13385.0,CHINA,Zhenzhen,Abu Dhabi Airport,SEL-00001493,O3375,,A,3,,,,,,,,,,,,,,,,,0.0,,,,375.0,2.75,2.75,,2025-10-25,2025-10-25,2025-10-25,2025-10-25,2025-11-30,2025-11-27,2025-11-27,2025-11-27,47150.0,2458.0,2581.0,2025-12-05,2025-12-09,2025-12-01,2025-12-01,,,,,,,2025-11-28,,,,,2,Port → WH → Site
832,HVDC-ADOPT-SCT-0156,E08,HVDC-ADOPT-SCT-0156,2025-11-28,5000735890,EMERSON,Elec,Distributed Control System,Distributed Control System,O,O,O,O,FOB,USD,257794.0,6400.0,661.0,264855.0,KOREA,Incheon,Abu Dhabi Airport,ELA2511035,QR8758,,A,4,,,,,,,,,,,,,,,,,0.0,,,,1600.0,12.1,12.1,,2025-11-28,2025-11-28,2025-11-30,2025-11-30,2025-12-03,2025-12-03,2025-12-03,2025-12-03,47150.0,10473.0,49158.0,2025-12-05,2025-12-01,2025-12-08,2025-12-11,,,,,,,2025-12-05,,,,,2,Port → WH → Site
833,HVDC-ADOPT-SCT-0157,E08,HVDC-ADOPT-SCT-0157,2025-12-01,5000771906,Gastron,Elec,Gas Detection System,Gas Detection System,O,O,O,O,FOB,USD,7050.0,872.0,35.0,7957.0,KOREA,Incheon,Abu Dhabi Airport,SEL00001572,EY823,,A,1,,,,,,,,,,,,,,,,,0.0,,,,159.0,0.72,0.72,,2025-12-01,2025-12-01,2025-12-01,2025-12-01,2025-12-03,2025-12-03,2025-12-03,2025-12-03,47150.0,,1461.0,2025-12-07,2025-12-05,2025-12-08,2025-12-08,,,,,,,2025-12-05,,,,,2,Port → WH → Site
834,HVDC-ADOPT-PPL-0021,E02,HVDC-ADOPT-PPL-0021,2025-11-25,5000675246,Prysmian,Elec,320kV HVDC Cable System,REFURBISHMENT KIT FOR CIT4229721066F,,,,,CIF,EUR,4360.0,1850.0,20.0,6230.0,Italy,Malpensa,Abu Dhabi Airport,607-37988064,EY0080,,A,4,,,,,,,,,,,,,,,,,0.0,,,,349.0,1.93,1.93,,2025-12-02,2025-12-02,2025-12-02,2025-12-02,2025-12-16,2025-12-04,2025-12-04,2025-12-04,47150.0,2634.0,2763.0,,,,,,,,,2025-12-08,,,,,,,2,Port → WH → Site
835,HVDC-ADOPT-PPL-0022,E02,HVDC-ADOPT-PPL-0022,2025-11-25,5000675246,Prysmian,Elec,320kV HVDC Cable System,REFURBISHMENT KIT FOR CIT4229621072,,,,,CIF,EUR,5440.0,520.0,33.0,5993.0,Italy,Malpensa,Abu Dhabi Airport,607-37988064,EY0080,,A,12,,,,,,,,,,,,,,,,,0.0,,,,87.0,0.26,0.26,,2025-12-02,2025-12-02,2025-12-02,2025-12-02,2025-12-16,2025-12-04,2025-12-04,2025-12-04,47150.0,,,,2025-12-09,,,,,,,,,,,,,,1,Port → Site
839,HVDC-ADOPT-SCT-0140,E08,HVDC-ADOPT-SCT-0140,2025-10-30,5001005009,"BMT Co., Ltd",Elec,Hook-up Materials,Juntion Box and Others,O,O,O,O,FOB,USD,30050.24,1600.0,348.15,31998.39,KOREA,Busan Port,Khalifa port,SEL00001318,ONE SWAN,Deugro,C,13,,,1.0,,,,,,,,,,,,,,1.0,,,,2680.0,19.51,19.51,,2025-10-30,2025-10-30,2025-12-08,2025-12-08,2025-12-17,2025-12-10,2025-12-11,2025-12-11,47150.0,5877.0,6170.0,2025-12-16,2025-12-16,,2025-12-31,,,,,,,2025-12-16,,,,,2,Port → WH → Site
840,HVDC-ADOPT-SCT-0142,E08,HVDC-ADOPT-SCT-0142,2025-10-30,5000740797,WILO Pump Korea,Mech,General Seviece Pump 2nd,Portable water Pump,,,O,O,FOB,USD,25600.0,800.0,316.8,26716.8,KOREA,Busan Port,Khalifa port,SEL00001325,ONE SWAN,Deugro,C,4,1.0,,,,,,,,,,,,,,,,1.0,,,,1140.0,4.75,4.75,,2025-10-30,2025-10-30,2025-12-08,2025-12-08,2025-12-17,2025-12-10,2025-12-10,2025-12-10,47150.0,4907.0,5151.0,,2025-12-16,,2025-12-31,,,,,,,2025-12-16,,,,,2,Port → WH → Site
845,HVDC-ADOPT-SIM-0107,E04-1,AR25-81813,2025-12-15,SCT-19LT-PRC-PO-004,Lorunser,Elec,400kV and 132kV New Converter GIS,400kv & 132kv Hardwares,O,O,O,O,CIF,EUR,,,,91249.2,Austria,Graz,Abu Dhabi Airport,607-51713421,EY0154,,A,21,,,,,,,,,,,,,,,,,0.0,,,,12212.0,,,,2025-12-18,2025-12-18,2025-12-19,2025-12-19,2025-12-25,2025-12-22,2025-12-22,2025-12-22,47150.0,19838.0,20829.0,2025-12-25,2025-12-25,2025-12-29,2025-12-27,,,,,,,2025-12-23,,,,,2,Port → WH → Site
846,HVDC-ADOPT-SCT-0143,E08,HVDC-ADOPT-SCT-0143,2025-11-04,5000799801,LS Cable,Elec,"MV, LV & Control Cable","MV,LV & Control CableE (13th)",O,O,O,O,FOB,USD,777593.15,9600.0,8659.12,795852.27,KOREA,Busan Port,Khalifa port,SEL00001373,YM TRANQUILITY,Deugro,C,58,,,6.0,,,,,,,,,,,,,,6.0,,,,104399.0,146.07,146.07,,2025-11-04,2025-11-04,2025-12-12,2025-12-12,2026-01-05,2025-12-15,2025-12-15,2025-12-15,47150.0,146139.0,153445.0,,,2026-01-12,2026-01-23,,,,,,,2025-12-30,,,,,2,Port → WH → Site
847,HVDC-ADOPT-SCT-0144,E08,HVDC-ADOPT-SCT-0144,2025-11-04,5000802593,Sangdong,Elec,Steel Conduit,Steel Conduit (11th),O,O,,O,FOB,USD,68310.72,1600.0,838.93,70749.65,KOREA,Busan Port,Khalifa port,SEL00001367,YM TRANQUILITY,Deugro,C,6,,,1.0,,,,,,,,,,,,,,1.0,,,,4855.0,8.93,8.93,,2025-11-04,2025-11-04,2025-12-12,2025-12-12,2026-01-05,2025-12-15,2025-12-15,2025-12-15,47150.0,12994.0,13641.0,2025-12-31,,2026-01-09,2026-01-10,,,,,,,2025-12-31,,,,,2,Port → WH → Site
853,HVDC-ADOPT-SIM-0108,E04-1,NR2521123,2025-12-18,SCT-19LT-PRC-PO-004,EUPEN,Elec,400kV and 132kV New Converter GIS,H009_Control Cable,,,,O,CIF,EUR,,,,3221.26,BELGIUM,Brussels,Abu Dhabi Airport,I011295,EY0058,,A,1,,,,,,,,,,,,,,,,,0.0,,,,270.0,0.97,0.97,,2025-12-23,2025-12-23,2025-12-23,2025-12-23,2026-01-05,2025-12-24,2025-12-24,2025-12-24,47150.0,697.0,731.0,,,,,,,,,,,2025-12-30,,,,,2,Port → WH → Site
855,HVDC-ADOPT-SCT-0154,E08,HVDC-ADOPT-SCT-0154,2025-12-04,5000801061,Arab Steel,Elec,Communication & Security System,Towers with Accessories,O,,O,,FOB,USD,70000.0,1115.0,853.38,71968.38,Egypt,Sukhna,Khalifa port,CFA0857367,CMA CGM RHONE,,C,20,,,1.0,,,,,,,,,,,,,,1.0,,,,15730.0,50.0,50.0,,2025-12-05,2025-12-05,2025-12-28,2025-12-28,2026-01-05,2025-12-30,2025-12-30,2025-12-30,47150.0,13216.0,13876.0,2026-01-12,2026-01-13,,,,,,,,,,,,,,1,Port → Site
856,HVDC-ADOPT-SCT-0146,E08,HVDC-ADOPT-SCT-0146,2025-11-22,5000802593,Sangdong,Elec,Steel Conduit,Steel Conduit (13th),,O,,,FOB,USD,25632.0,1600.0,326.78,27558.78,KOREA,Busan Port,Khalifa port,SEL00001417,HMM NURI,Deugro,C,3,,,1.0,,,,,,,,,,,,,,1.0,,,,11760.0,14.34,14.34,,2025-11-22,2025-11-22,2025-12-29,2025-12-29,2026-01-05,2025-12-30,2025-12-30,2025-12-30,47150.0,5061.0,5314.0,,,2026-01-20,,,,,,,,2026-01-13,,,,,2,Port → WH → Site
857,HVDC-ADOPT-SCT-0151,E08,HVDC-ADOPT-SCT-0151,2025-11-22,5001005009,"BMT Co., Ltd",Elec,Hook-up Materials,Sunshade and otherd,O,O,O,O,FOB,USD,2127.28,1600.0,44.73,3772.01,KOREA,Busan Port,Khalifa port,SEL00001484,HMM NURI,Deugro,C,8,,,1.0,,,,,,,,,,,,,,1.0,,,,1420.0,11.05,11.05,,2025-11-22,2025-11-22,2025-12-29,2025-12-29,2026-01-05,2025-12-30,2025-12-30,2025-12-30,47150.0,693.0,727.0,2026-01-13,2026-01-13,2026-01-20,,,,,,,,2026-01-13,,,,,2,Port → WH → Site
873,HVDC-ADOPT-SCT-0155,E08,HVDC-ADOPT-SCT-0155,2026-01-05,5111225933,LS Cable,Elec,"MV, LV & Control Cable","MV,LV & Control CableE (14th)",,,,O,FOB,USD,638532.0,6400.0,7094.25,652026.25,KOREA,Busan Port,Khalifa port,SEL00001813,HMM HANUL,Deugro,C,49,2.0,,3.0,,,,,,,,,,,,,,5.0,,,,77837.0,101.06,101.06,,2026-01-05,2026-01-05,2026-02-07,,,,,,,,,,,,,,,,,,,,,,,,1,Port → Site
874,HVDC-ADOPT-SCT-0159,E08,HVDC-ADOPT-SCT-0159,2025-12-25,5000802593,Sangdong,Elec,Steel Conduit,Steel Conduit (14th),,O,,O,FOB,USD,26483.04,1600.0,337.0,28420.04,KOREA,Busan Port,Khalifa port,SEL00001795,HMM RAON,Deugro,C,5,,,1.0,,,,,,,,,,,,,,1.0,,,,12330.0,19.24,19.24,,2025-12-28,2025-12-28,2026-02-02,,,,,,,,,,,,,,,,,,,,,,,,1,Port → Site
